algorithm,num_updates,progress_fraction,stage,n_runs,solve_rate_mean,solve_rate_sem,solve_rate_n,return_mean_mean,return_mean_sem,return_mean_n,bank_size_mean,bank_size_sem,bank_size_n,score_priority_lift_mean,score_priority_lift_sem,score_priority_lift_n,score_priority_lift_q80_normalized_mean,score_priority_lift_q80_normalized_sem,score_priority_lift_q80_normalized_n,exact_unique_ratio_mean,exact_unique_ratio_sem,exact_unique_ratio_n,duplicate_fraction_mean,duplicate_fraction_sem,duplicate_fraction_n,dominant_share_mean,dominant_share_sem,dominant_share_n,shannon_effective_size_mean,shannon_effective_size_sem,shannon_effective_size_n,simpson_effective_size_mean,simpson_effective_size_sem,simpson_effective_size_n,topology_unique_ratio_mean,topology_unique_ratio_sem,topology_unique_ratio_n,mean_pairwise_wall_distance_d4_mean,mean_pairwise_wall_distance_d4_sem,mean_pairwise_wall_distance_d4_n,mean_nearest_wall_distance_d4_unique_mean,mean_nearest_wall_distance_d4_unique_sem,mean_nearest_wall_distance_d4_unique_n,mean_wall_count_mean,mean_wall_count_sem,mean_wall_count_n,mean_wall_fraction_mean,mean_wall_fraction_sem,mean_wall_fraction_n,mean_solvable_mean,mean_solvable_sem,mean_solvable_n,mean_shortest_path_mean,mean_shortest_path_sem,mean_shortest_path_n,mean_manhattan_distance_mean,mean_manhattan_distance_sem,mean_manhattan_distance_n,mean_path_stretch_mean,mean_path_stretch_sem,mean_path_stretch_n,mean_reachable_fraction_mean,mean_reachable_fraction_sem,mean_reachable_fraction_n,mean_dead_end_fraction_mean,mean_dead_end_fraction_sem,mean_dead_end_fraction_n,mean_junction_fraction_mean,mean_junction_fraction_sem,mean_junction_fraction_n
Log-relative transfer,5000,0.16666666666666666,Early (0-10k),6,0.21458333606521288,0.04188484590492616,6,0.10071082847813766,0.023097238207746236,6,4000.0,0.0,6,0.03684064722619951,0.004309739555791599,6,0.631842039787286,0.07879565500929732,6,0.3385416666666667,0.03168105484530323,6,0.6614583333333334,0.03168105484530323,6,0.6302083333333334,0.03734051735194775,6,4.48390816968575,0.5609176448931347,6,2.5027163409141076,0.2641769616914173,6,0.3385416666666667,0.03168105484530323,6,0.12751717885092576,0.009483644063372048,6,0.1899023341331034,0.002964818954614421,6,23.520833333333332,0.2882990104812093,6,0.13917652859960553,0.0017059113046225388,6,1.0,0.0,6,9.984375,1.493600716041049,6,8.807291666666666,1.182842199282211,6,1.1529555224867725,0.08721903000710259,6,0.9993199417657935,0.0002099421448549861,6,0.020300581325028932,0.0031600771377847644,6,0.8099614794879978,0.004322929674703621,6
Log-relative transfer,5200,0.17333333333333334,Early (0-10k),6,0.19583333904544512,0.04409585640470026,6,0.09963082863638799,0.02401424227205083,6,4000.0,0.0,6,0.033812102085600294,0.0046891241815050205,6,0.5917555678392954,0.07546671809431696,6,0.34375,0.04034357652299393,6,0.65625,0.04034357652299393,6,0.6197916666666666,0.0519268482525605,6,4.772994855810848,0.7629799870373863,6,2.664214747524488,0.353406997227298,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,5400,0.18,Early (0-10k),6,0.21458333109815916,0.05035464306769294,6,0.1200683352847894,0.027381308332136495,6,4000.0,0.0,6,0.04172097806197902,0.005643020235923014,6,0.7542382817767052,0.10371848931628438,6,0.3854166666666667,0.030900827029565262,6,0.6145833333333334,0.030900827029565262,6,0.59375,0.032274861218395144,6,5.2825007347125945,0.6480850448278758,6,2.8015415391564376,0.28866783181361627,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,5600,0.18666666666666668,Early (0-10k),6,0.19375000149011612,0.039889171257206056,6,0.10326999860505263,0.02151687925428181,6,4000.0,0.0,6,0.06042494415305555,0.01574680312790241,6,1.075406797507642,0.2617239061559445,6,0.4895833333333333,0.02508665537248395,6,0.5104166666666666,0.025086655372483953,6,0.5104166666666666,0.0263523138347365,6,7.452385115091076,0.7401086487937529,6,3.7046035560905213,0.3769501081266726,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,5800,0.19333333333333333,Early (0-10k),6,0.18125000720222792,0.02206760655753254,6,0.1010524978240331,0.007499931297115829,6,4000.0,0.0,6,0.039459229757388435,0.005414416393863786,6,0.7274658192333944,0.10524913177318253,6,0.3385416666666667,0.027263025683963337,6,0.6614583333333334,0.027263025683963337,6,0.625,0.036084391824351615,6,4.48884468849904,0.5771930329195917,6,2.532925009503645,0.29813425802164445,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,6000,0.2,Early (0-10k),6,0.21875000496705374,0.03988917125720627,6,0.125022504478693,0.02505757053665955,6,4000.0,0.0,6,0.04011215944774449,0.0024973764112019695,6,0.7448545120871478,0.045927219073619505,6,0.3541666666666667,0.04166666666666667,6,0.6458333333333334,0.04166666666666667,6,0.65625,0.04704829079431757,6,4.539616117007973,0.8242169647779685,6,2.42124056551527,0.3412562498948765,6,0.3541666666666667,0.04166666666666667,6,0.12009090475281543,0.012979160954645276,6,0.18735324504555273,0.0013901045745768727,6,23.401041666666668,0.24076925690262962,6,0.13846770216962526,0.001424670159187157,6,1.0,0.0,6,10.59375,1.3392366062425267,6,10.21875,1.3084510960801452,6,1.0385373307248307,0.017458419779544505,6,0.9991069118239843,0.0006435582115809031,6,0.029739190642014402,0.004518181287095515,6,0.8138526865722522,0.0052798348519083075,6
Log-relative transfer,6200,0.20666666666666667,Early (0-10k),6,0.2187500074505806,0.044223631299032395,6,0.11237749767800172,0.023284551608369956,6,4000.0,0.0,6,0.036508482337618865,0.005119524881956397,6,0.6869969790812044,0.0878131928008559,6,0.3958333333333333,0.04468252206151504,6,0.6041666666666666,0.04468252206151504,6,0.578125,0.05150723047948382,6,5.7155942365772505,1.0337644258531389,6,3.073499127725089,0.4801221160079316,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,6400,0.21333333333333335,Early (0-10k),6,0.18958333507180214,0.04250204211076638,6,0.10386582867552836,0.022446248974324512,6,4000.0,0.0,6,0.032878468822066985,0.002698752795103647,6,0.6255518602968918,0.05232039475741907,6,0.3697916666666667,0.0219739824059677,6,0.6302083333333334,0.0219739824059677,6,0.6458333333333334,0.015450413514782635,6,4.480984304096997,0.3177441877421821,6,2.34889676114005,0.10941194118403283,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,6600,0.22,Early (0-10k),6,0.16250000273187956,0.04158325041522661,6,0.09283249949415524,0.021108269294300996,6,4000.0,0.0,6,0.0397890160481135,0.006262141813403716,6,0.7578597517939185,0.10695374784273458,6,0.3802083333333333,0.03462660445540555,6,0.6197916666666666,0.03462660445540555,6,0.5885416666666666,0.041470894244571635,6,5.282778671938289,0.6730581630858391,6,2.852218826961497,0.31291224455187594,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Log-relative transfer,6800,0.22666666666666666,Early (0-10k),6,0.18125000254561505,0.04913311183569304,6,0.10485499631613493,0.025617076826686364,6,4000.0,0.0,6,0.041145641434316836,0.006167530508137105,6,0.8078294037294983,0.1347476819135191,6,0.3645833333333333,0.0287167682335213,6,0.6354166666666666,0.0287167682335213,6,0.59375,0.02795084971874737,6,5.059619063200383,0.5500237491420022,6,2.7580471526196217,0.24309140284594416,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
